"time","age","c_charge_degree","race","age_cat","score_text","sex","priors_count","days_b_screening_arrest","decile_score","is_recid","c_jail_in","c_jail_out"
"1",69,"F","Other","Greater than 45","Low","Male",0,-1,1,0,"2013-08-13 06:03:42","2013-08-14 05:41:20"
"2",34,"F","African-American","25 - 45","Low","Male",0,-1,3,1,"2013-01-26 03:45:27","2013-02-05 05:36:53"
"3",24,"F","African-American","Less than 25","Low","Male",4,-1,4,1,"2013-04-13 04:58:34","2013-04-14 07:02:04"
"4",44,"M","Other","25 - 45","Low","Male",0,0,1,0,"2013-11-30 04:50:18","2013-12-01 12:28:56"
"5",41,"F","Caucasian","25 - 45","Medium","Male",14,-1,6,1,"2014-02-18 05:08:24","2014-02-24 12:18:30"
"6",43,"F","Other","25 - 45","Low","Male",3,-1,4,0,"2013-08-29 08:55:23","2013-08-30 08:42:13"
"7",39,"M","Caucasian","25 - 45","Low","Female",0,-1,1,0,"2014-03-15 05:35:34","2014-03-18 04:28:46"
"8",20,"F","Caucasian","Less than 25","High","Male",0,-1,10,0,"2013-12-08 08:17:29","2014-01-10 12:16:01"
"9",26,"F","Caucasian","25 - 45","Medium","Female",0,-1,5,0,"2014-09-04 02:37:17","2014-09-05 08:41:35"
"10",27,"F","Caucasian","25 - 45","Low","Male",0,-1,4,0,"2013-11-25 06:31:06","2013-11-26 08:26:57"
"11",23,"M","African-American","Less than 25","Medium","Male",3,0,6,1,"2013-10-03 04:07:35","2013-10-07 08:17:30"
"12",37,"M","Caucasian","25 - 45","Low","Female",0,0,1,0,"2013-01-01 03:28:03","2013-01-02 01:12:19"
"13",22,"M","Caucasian","Less than 25","Low","Male",0,0,3,0,"2014-07-31 02:05:33","2014-07-31 08:33:42"
"14",41,"F","African-American","25 - 45","Low","Male",0,-1,4,0,"2013-10-08 11:53:09","2013-10-09 02:16:51"
"15",47,"F","Caucasian","Greater than 45","Low","Female",1,-20,1,1,"2013-10-10 05:12:58","2013-10-24 11:30:00"
"16",31,"F","African-American","25 - 45","Low","Male",7,22,3,1,"2014-06-25 02:15:57","2014-06-28 05:02:21"
